Date/Time,Air Quality Index,Carbon Monoxide,Hydrogen Sulphide,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Air Temperature,Ozone,PM10 Mass,PM2.5 Mass,Relative Humidity,Std. Dev. of Wind Direction,Sulphur Dioxide,Total Hydrocarbons,Total Oxides Of Nitrogen,Wind Direction,Wind Speed
2016-09-05,1.9068333333333332,0.1236,0.0,1.9771,0.0010666666666666,0.0040999999999999,0.0,11.3625,0.0183333333333333,,3.319433333333333,62.8333,19.85415,0.0004,2.04375,0.0051666666666666,150.3125,8.9771
2016-09-06,1.926433333333333,0.2055333333333333,0.0007,2.0229,0.0067333333333333,0.0094666666666666,0.1875,11.420850000000002,0.0121,,6.010866666666668,71.0833,24.6458,0.00025,2.21455,0.0161666666666666,208.8958,5.38125
2016-09-07,1.8652333333333333,0.1944333333333333,0.001,2.0542,0.0077333333333333,0.0113,0.2208,12.9875,0.0118,,4.2967,58.0417,20.9792,0.0021,2.2625,0.0190333333333333,222.29165,5.70625
2016-09-08,1.9079,0.1544,0.0012,2.032,0.0048333333333333,0.0091666666666666,0.1833,12.03545,0.0139666666666666,,3.555533333333333,68.75,19.375,0.0001,2.17085,0.0139666666666666,266.77085,8.6604
2016-09-09,1.8436333333333328,0.1442333333333333,0.0009,1.9422,0.0031666666666666,0.0073,0.0208,13.61045,0.0162666666666666,,2.22915,58.0417,20.29165,0.0006,2.04585,0.0104666666666666,232.75,6.73545
2016-09-10,1.9904666666666664,0.1417,0.0006,1.94795,0.0021666666666666,0.0065333333333333,0.0,15.1125,0.0192999999999999,,2.9375,48.25,15.66665,0.00035,2.04585,0.0087666666666666,263.47915,8.39585
2016-09-11,1.8993,0.1055666666666666,0.0007,1.95,0.0008666666666666,0.0028,0.0,7.10205,0.0181666666666666,,0.606,76.0,14.7917,0.0,2.06875,0.0036666666666666,325.2708,15.6021
2016-09-12,1.919166666666667,0.1569333333333333,0.001,2.02355,0.0043333333333333,0.0101,0.0167,8.758299999999998,0.0152666666666666,,2.6591,58.875,21.83335,0.0007,2.10205,0.0144333333333333,247.97915,5.8396
2016-09-13,1.9898333333333331,0.175,0.0006,1.9979,0.0063,0.0103,0.0042,13.23335,0.0164666666666666,,4.5417,49.2083,13.35415,0.00125,2.0979,0.0166,202.64585,9.9021
2016-09-14,1.9789,0.1983333333333333,0.0003,1.96045,0.0087,0.0144999999999999,0.175,17.1875,0.0126666666666666,,7.08905,46.5,19.85415,0.0025,2.17835,0.0232,191.58335,5.9417
2016-09-15,2.1352333333333333,0.2452666666666666,0.0012,2.0473,0.0107999999999999,0.0163666666666666,0.175,17.42085,0.0131333333333333,,9.36775,50.625,17.0536,0.00105,2.3458,0.0271666666666666,199.66665,5.5354
2016-09-16,2.270433333333333,0.2083333333333333,0.001,1.9917,0.008,0.0135666666666666,,17.8771,0.0180333333333333,,9.2064,45.5,16.75,0.0003999999999999,2.2583,0.0215333333333333,180.4167,6.2479
2016-09-17,2.0855,0.1527666666666667,0.0007,2.0083,0.0026333333333333,0.0086333333333333,,15.62915,0.0203,,4.430533333333334,65.125,25.3125,0.0006,2.0625,0.0112666666666666,256.89585,6.208349999999999
2016-09-18,2.1540666666666666,0.1194333333333333,0.0006,1.9417,0.0011,0.0058666666666666,,11.5729,0.0230666666666666,,2.361133333333333,67.4583,16.625,0.00035,2.1208,0.007,279.97915,11.89585
2016-09-19,1.9721333333333333,0.1569333333333333,0.0006,1.95,0.0041666666666666,0.0110333333333333,,10.53335,0.0164333333333333,,3.1666666666666665,61.2083,21.10415,0.00015,2.2375,0.0152,269.54165,6.625
2016-09-20,2.0785666666666667,0.2277666666666666,0.0007,2.1104000000000003,0.0156666666666666,0.0154333333333333,0.2333,9.0271,0.0103333333333333,,5.8308,66.9167,23.66665,0.00015,2.34795,0.0311333333333333,264.375,5.20625
2016-09-21,2.0785,0.2153,0.0005,2.04165,0.0093333333333333,0.0140333333333333,0.0542,10.125,0.0141,,6.314033333333334,58.125,16.5,0.00165,2.19165,0.0234,196.2083,6.44795
2016-09-22,2.2969,0.1597333333333333,0.0,2.00415,0.0041333333333333,0.0093333333333333,0.0042,11.391649999999998,0.0237666666666666,,4.9697000000000005,54.4167,17.58335,0.0001,2.1167,0.0134666666666666,160.1042,10.9333
2016-09-23,1.8884333333333332,0.1625,0.0003,1.9396,0.0037333333333333,0.0073666666666666,0.0125,10.1125,0.0152,,5.785333333333334,76.8333,19.27085,0.0,2.04585,0.0111,143.6042,10.31875
2016-09-24,2.1754333333333333,0.1819333333333333,0.0003,2.0250000000000004,0.0019333333333333,0.0093333333333333,0.0875,11.19795,0.0205333333333333,,4.1389,56.2083,17.41665,5e-05,2.17295,0.0112333333333333,280.0,9.79585
2016-09-25,2.2142666666666666,0.1944333333333333,0.0005,2.0396,0.0032999999999999,0.0119333333333333,0.0875,10.55,0.0197333333333333,,4.807533333333333,48.9583,18.29165,0.00095,2.23125,0.0152,218.6042,5.9354
2016-09-26,2.166166666666667,0.2083333333333333,0.0,2.0042,0.0047666666666666,0.0140333333333333,0.0125,15.83955,0.0202,,5.818233333333333,42.1667,14.47915,0.0001,2.11045,0.0188333333333333,173.95835,9.18125
2016-09-27,2.3837333333333333,0.1916666666666666,0.0002,2.02915,0.0033666666666666,0.0137666666666666,0.1125,12.30835,0.0215333333333333,,5.907133333333333,44.0,20.5,0.0002,2.19165,0.0170666666666666,268.0417,9.59375
2016-09-28,2.413866666666667,0.2291666666666666,0.0003,2.08125,0.0183,0.0162666666666666,0.1542,8.9479,0.0171666666666666,,8.169699999999999,47.5,19.70835,0.00045,2.26875,0.0346333333333333,158.22915,7.73335
2016-09-29,2.1328,0.2125,0.0004,2.07085,0.0084666666666666,0.0136999999999999,0.05,10.77085,0.0187666666666666,,6.030566666666666,55.8333,20.6667,0.00035,2.20625,0.0221333333333333,103.91665,5.6229
