"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-03-26","2015","03","26","","10.1","","0.9","","5.5","","12.5","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-03-27","2015","03","27","","","M","0.6","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-03-28","2015","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-03-29","2015","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-03-30","2015","03","30","","13.3","","1.9","","7.6","","10.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-03-31","2015","03","31","","18.2","","2.3","","10.3","","7.7","","0.0","","","M","","M","2.3","","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-01","2015","04","01","","","M","1.6","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-02","2015","04","02","","5.6","","-3.2","","1.2","","16.8","","0.0","","","M","","M","","M","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-03","2015","04","03","","8.8","","-3.5","","2.7","","15.3","","0.0","","","M","","M","1.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-04","2015","04","04","","4.4","","-2.5","","1.0","","17.0","","0.0","","","M","","M","0.4","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-05","2015","04","05","","5.7","","-5.7","","0.0","","18.0","","0.0","","","M","","M","0.4","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-06","2015","04","06","","6.2","","-3.0","","1.6","","16.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-07","2015","04","07","","7.8","","-0.3","","3.8","","14.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-08","2015","04","08","","13.5","","-3.0","","5.3","","12.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-09","2015","04","09","","17.5","","-2.3","","7.6","","10.4","","0.0","","","M","","M","1.1","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-10","2015","04","10","","18.9","","0.8","","9.9","","8.1","","0.0","","","M","","M","0.9","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-11","2015","04","11","","14.5","","2.8","","8.7","","9.3","","0.0","","","M","","M","0.0","","","","30","","67",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-12","2015","04","12","","9.9","","-0.5","","4.7","","13.3","","0.0","","","M","","M","0.0","","","","29","","69",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-13","2015","04","13","","12.9","","-0.3","","6.3","","11.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-14","2015","04","14","","11.8","","3.9","","7.9","","10.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-15","2015","04","15","","14.4","","0.0","","7.2","","10.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-16","2015","04","16","","20.3","","2.2","","11.3","","6.7","","0.0","","","M","","M","0.7","","","","","","<31",""
