Date/Time,Air Quality Index,Carbon Monoxide,Methane,Nitric Oxide,Nitrogen Dioxide,Outdoor Air Temperature,Ozone,PM10 Mass,PM2.5 Mass,Relative Humidity,Sulphur Dioxide,Wind Direction
2015-03-15 00:00:00,2.732633333,0.152766667,1.80415,0.001433333,0.005766667,5.183333333,0.035,12.0417,3.384933333,46.1667,0.00065,268.3125
2015-03-16 00:00:00,2.5268,0.2347,1.90835,0.0067,0.0162,4.191666667,0.0242,23.5833,7.25,55.5,0.0007,228.4375
2015-03-17 00:00:00,2.473466667,0.2639,1.8917,0.009333333,0.0138,5.695833333,0.019966667,21.4167,10.77776667,68.5833,0.00095,158.6875
2015-03-18 00:00:00,2.3654,0.2,1.8625,0.007966667,0.014566667,5.861133333,0.020866667,24,9.682966667,55.3333,0.0009,242.625
2015-03-19 00:00:00,2.593133333,0.255566667,1.9354,0.019066667,0.023166667,3.0861,0.019166667,72.7917,12.29166667,58.625,0.002,115.5625
2015-03-20 00:00:00,2.578833333,0.1875,1.8729,0.0075,0.0128,-1.244466667,0.0296,3.5833,6.005566667,79.7917,0.00065,87.0625
2015-03-21 00:00:00,2.432133333,0.141666667,1.8042,0.006166667,0.0091,-2.9778,0.028333333,2.1739,4.644466667,80.8333,0.0005,91.625
2015-03-22 00:00:00,2.4996,0.2972,1.8583,0.005266667,0.014833333,-2.656933333,0.0257,5.25,8.991666667,73.2917,0.0007,192.4583
2015-03-23 00:00:00,2.673366667,0.2472,,0.006733333,0.016166667,-2.331933333,0.025933333,5.1667,11.90276667,72.75,0.0009,155.5625
2015-03-24 00:00:00,2.600366667,0.228033333,,0.005566667,0.018466667,0.6153,0.024566667,10.2917,13.00596667,70.7917,0.0008,227.8125
2015-03-25 00:00:00,2.978566667,0.2443,2.1667,0.0163,0.0285,3.0778,0.0168,32.1667,20.9278,64.5833,0.00225,163.52085
2015-03-26 00:00:00,2.968566667,0.279166667,2.1167,0.0097,0.021566667,6.945833333,0.01825,16.375,19.5278,62.1667,0.00095,182.625
2015-03-27 00:00:00,2.4677,0.3389,1.95,0.0171,0.019333333,10.62916667,0.0176,16.8333,8.875,61.375,0.00075,166.0625
2015-03-28 00:00:00,2.353166667,0.229166667,1.85205,0.0025,0.010433333,6.9361,0.0235,6.625,5.472233333,76.5833,0.0004,254.79165
